"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1701","Hootel Login","test","Wed Nov 20 18:12:47 GMT 2024","passed","Wed Nov 20 18:12:48 GMT 2024","TestHootel","test_hootel","",""
"","1089","test_hotel_list","test","Wed Nov 20 18:12:50 GMT 2024","passed","Wed Nov 20 18:12:51 GMT 2024","TestHootel","test_hootel","",""
